isbn,price,title
1931769516,$162.38,Disassembling Code: IDA Pro and SoftICE
978-1-59327-564-8,$35.38,Penetration Testing
978-1-59327-163-3,$137.43,Hacking VoIP
978-0-321-34998-9,$45.96,Security Metrics
978-1-78328-898-4,$29.99,Learning Pentesting for Android Devices
3319160265,$79.99,Security Planning: An Applied Approach
1466559578,$111.82,"Distributed Networks: Intelligence, Security, and Applications"
978-1-118-12706-3,$62.79,"Computer Security Handbook, 6th Edition"
978-0-596-00105-6,$16.95,Database Nation
1491920947,$40.81,Essential Cybersecurity Science
3319023896,$109.99,Security and the Networked Society
1849694125,$19.99,Instant Penetration Testing
0071849270,$46.32,"CISSP All-in-One Exam Guide, 7th Edition"
1785884492,$33.92,"CISSP in 21 Days, Second Edition"
1627058435,$6.95,Database Anonymization
178588963X,$41.72,Practical Internet of Things Security
978-1-78216-222-3,$42.99,Mastering Metasploit
1782170960,$35.98,VMware vCloud Security
1484227980,$39.99,Digital Privacy and Security Using Windows
0470550937,$2.74,"Hacking For Dummies, 3rd Edition"
1491954388,$28.28,"Mastering Bitcoin, 2nd Edition"
1484230590,$29.99,Building a HIPAA-Compliant Cybersecurity Program
1119416876,$39.66,CompTIA CySA+ Practice Tests
1484222822,$38.37,From Hacking to Report Writing
1783988800,$34.99,Testing and Securing Android Studio Applications
178528262X,$34.99,Spring Security Essentials
3319490249,$141.02,Hardware IP Security and Trust
1783559020,$22.99,Computer Forensics with FTK
1259583074,$19.72,"SSCP Systems Security Certified Practitioner All-in-One Exam Guide, 2nd Edition"
1119375738,$15.17,"Social Security For Dummies, 3rd Edition"
1785287818,$34.99,Mastering Mobile Forensics
1484224299,$27.84,Personal Cybersecurity
1783986042,$24.99,BeagleBone for Secret Agents
1849510504,$39.99,Hacking Vim 7.2
1119154685,$19.88,"Hacking For Dummies, 5th Edition"
1785887106,$34.99,Practical Digital Forensics
1785281976,$29.99,Bitcoin Essentials
1849681481,$54.99,IBM WebSphere Application Server v7.0 Security
1785288105,$43.95,Big Data Forensics – Learning Hadoop Investigations
1783985984,$35.99,Kali Linux CTF Blueprints
0470626399,$46.61,"Information Security, 2nd Edition"
1516945867,$35.00,Intermediate Security Testing with Kali Linux 2
0132564718,$55.77,Network Forensics
1491904011,$27.50,The Architecture of Privacy
1498723187,$54.57,Security and Privacy in Internet of Things (IoTs)
1119059658,$19.36,SSCP (ISC)2 Systems Security Certified Practitioner Official Study Guide
1782174907,$49.99,Learning Network Forensics
1449310044,$27.82,"Inside Cyber Warfare, 2nd Edition"
1484220528,$39.99,Building a Comprehensive IT Security Program
0133354695,$141.91,"Cryptography and Network Security, 6th Edition"
159327601X,$32.25,iOS Application Security
1845647688,$345.00,Handbook of Communications Security
1484214560,$34.68,Managing Risk and Information Security
